Unique Key,Created Date,Closed Date,Descriptor,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Address Type,City,Status,Resolution Action Updated Date,Community Board,Borough,Latitude,Longitude
36770137,07/23/2017 04:41:00 PM,08/29/2017 07:58:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),10468.0,2547 AQUEDUCT AVENUE,AQUEDUCT AVENUE,W 190 ST,W 192 ST,ADDRESS,BRONX,Closed,08/29/2017 07:58:00 AM,07 BRONX,BRONX,40.86577493714256,-73.90184795398318
38562390,02/27/2018 08:15:00 PM,03/19/2018 09:46:00 AM,Cloudy Or Milky Water (QB1),11220.0,368 63 STREET,63 STREET,BEND,4 AVE,ADDRESS,BROOKLYN,Closed,03/19/2018 09:46:00 AM,07 BROOKLYN,BROOKLYN,40.63942278028082,-74.02066422612273
38562005,02/27/2018 11:41:00 AM,04/04/2018 12:00:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11361.0,33-04 214 PLACE,214 PLACE,33 AVE,33 RD,ADDRESS,Bayside,Closed,04/04/2018 12:00:00 AM,11 QUEENS,QUEENS,40.772315069533406,-73.77223605324744
38558594,02/26/2018 09:43:00 AM,02/27/2018 07:09:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11367.0,78-16 MAIN STREET,MAIN STREET,78 AVE,78 RD,ADDRESS,Flushing,Closed,02/27/2018 07:09:00 AM,08 QUEENS,QUEENS,40.71965347094977,-73.81815222810961
38558251,02/26/2018 03:42:00 PM,03/19/2018 09:45:00 AM,"Oil, Grease In Water (QD1)",10452.0,1035 WOODYCREST AVENUE,WOODYCREST AVENUE,W 164 ST,W 165 ST,ADDRESS,BRONX,Closed,03/19/2018 09:45:00 AM,04 BRONX,BRONX,40.833324028823,-73.9274770714963
38556866,02/26/2018 01:55:00 PM,03/19/2018 09:45:00 AM,"Taste/Odor, Chlorine (QA1)",10019.0,446 WEST   58 STREET,WEST   58 STREET,9 AVE,10 AVE,ADDRESS,NEW YORK,Closed,03/19/2018 09:45:00 AM,04 MANHATTAN,MANHATTAN,40.76916062655122,-73.98658450706913
38555951,02/26/2018 10:27:00 PM,03/19/2018 09:45:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11370.0,73-13 DITMARS BOULEVARD,DITMARS BOULEVARD,73 ST,74 ST,ADDRESS,East Elmhurst,Closed,03/19/2018 09:45:00 AM,01 QUEENS,BRONX,40.768280054680744,-73.89598434850137
38555936,02/26/2018 12:31:00 PM,02/27/2018 09:48:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11209.0,333 OVINGTON AVENUE,OVINGTON AVENUE,3 AVE,4 AVE,ADDRESS,BROOKLYN,Closed,02/27/2018 09:48:00 AM,10 BROOKLYN,BROOKLYN,40.634522340502905,-74.02560950899898
38552216,02/26/2018 11:26:00 AM,03/19/2018 09:45:00 AM,"Taste/Odor, Chemical (QA2)",10003.0,13 EAST    7 STREET,EAST    7 STREET,COOPER SQ,TARAS SHEVCHENKO PL,ADDRESS,NEW YORK,Closed,03/19/2018 09:45:00 AM,03 MANHATTAN,MANHATTAN,40.728733568351906,-73.989872324178
38551968,02/26/2018 12:31:00 PM,04/05/2018 12:00:00 AM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",11214.0,1684 82 STREET,82 STREET,16 AVE,17 AVE,ADDRESS,BROOKLYN,Closed,04/05/2018 12:00:00 AM,11 BROOKLYN,BROOKLYN,40.61124108844992,-74.0031082299272
